WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1153.6683,1.10084,0.11513774,1.0376111,,,
1153.7666,1.11247,0.11546896,1.0313544,,,
1153.8649,1.07863,0.1142031,1.0250959,,,
1153.9632,0.912508,0.10771379,1.0286014,,,
1154.0615,1.02594,0.11206667,1.0338813,,,
1154.1597,0.943839,0.10867591,1.0391626,,,
1154.258,0.981604,0.11020832,1.0481358,,,
1154.3563,0.974235,0.10989514,1.0580728,,,
1154.4546,1.05471,0.11286568,1.0680124,,,
1154.5529,0.965568,0.109313,1.0705625,,,
1154.6511,1.05339,0.11263953,1.0705375,,,
1154.7494,1.02705,0.11183866,1.0705124,,,
1154.8477,0.982154,0.10964429,1.0660826,,,
1154.946,1.01837,0.11132334,1.05966,,,
1155.0443,1.08694,0.11349372,1.0532355,,,
1155.1426,1.08547,0.11377432,1.0506508,,,
1155.2408,0.952012,0.10846701,1.0502555,,,
1155.3391,0.989513,0.10996071,1.0498601,,,
1155.4374,1.02261,0.11131865,1.0479452,,,
1155.5357,1.18563,0.11727122,1.0449471,,,
1155.634,1.05978,0.1126205,1.041948,,,
1155.7322,1.19468,0.11761365,1.0239895,,,
1155.8305,1.01736,0.11118098,0.99281022,,,
1155.9288,1.07212,0.11553067,0.96162243,,,
1156.0271,1.18576,0.12187816,0.96047331,,,
1156.1254,0.96854,0.11370751,0.99197963,,,
1156.2236,0.993204,0.11449455,1.0234945,,,
1156.3219,1.05884,0.11653293,1.0448765,,,
1156.4202,1.16166,0.11781866,1.0526121,,,
1156.5185,1.14244,0.11580382,1.0603497,,,
1156.6168,0.833853,0.10380949,1.0650467,,,
1156.715,1.15444,0.11611944,1.0664,,,
1156.8133,1.14156,0.11569505,1.0677537,,,
1156.9116,1.15393,0.11601308,1.0685228,,,
1157.0099,1.00423,0.11065904,1.068058,,,
1157.1082,0.946673,0.10834576,1.067593,,,
1157.2064,1.06785,0.11291591,1.0671115,,,
1157.3047,1.03018,0.11167722,1.0665852,,,
1157.403,1.05331,0.11245388,1.0660588,,,
