WAVE,FLUX,ERR,CONT,Z,Transition,SplineRanges
1270.2214,1.04476,0.13671017,0.96843721,,,
1270.3196,0.948618,0.13177248,0.98122896,,,
1270.4178,0.877563,0.12790732,0.96548615,,,
1270.516,0.896141,0.12908117,0.94638246,,,
1270.6142,1.1269,0.14057116,0.92727624,,,
1270.7125,1.188,0.143374,0.93003837,,,
1270.8107,0.708525,0.10857785,0.95190435,,,
1270.9089,0,0,0.97377319,,,
1271.0071,0.933444,0.12896366,0.992122,,,
1271.1053,0.982924,0.13313642,0.993762,,,
1271.2035,0.804063,0.12358832,0.99540219,,,
1271.3017,1.04605,0.13642694,0.99704259,,,
1271.3999,1.08438,0.13811113,0.99824572,,,
1271.4981,0.920249,0.13002586,0.99934933,,,
1271.5964,1.09645,0.1384476,1.0004531,,,
1271.6946,1.04057,0.1039983,1.0001848,,,
1271.7928,1.10797,0.08667367,0.998263,,,
1271.891,1.16197,0.088238214,0.99634097,,,
1271.9892,1.03562,0.084495776,0.99527211,,,
1272.0874,1.02053,0.084143196,0.99770901,,,
1272.1856,1.07903,0.085766674,1.0001462,,,
1272.2838,1.04446,0.084884142,1.0025837,,,
1272.382,1.02483,0.08429442,0.98972751,,,
1272.4803,1.0433,0.084820189,0.97129688,,,
1272.5785,0.988053,0.083094778,0.95286383,,,
1272.6767,0.972202,0.082602677,0.95046328,,,
1272.7749,0.973202,0.082390769,0.96577203,,,
1272.8731,0.948451,0.081597944,0.98108277,,,
1272.9713,0.849874,0.07852385,0.99394639,,,
1273.0695,1.07156,0.085546082,0.98806112,,,
1273.1677,1.10611,0.08657504,0.98217505,,,
1273.2659,1.01162,0.083776007,0.9762882,,,
1273.3642,1.03106,0.084272399,0.95318757,,,
1273.4624,1,0.083338495,0.92448637,,,
1273.5606,0.965686,0.082297656,0.89578139,,,
1273.6588,0.941691,0.081693472,0.89212885,,,
1273.757,0.977187,0.082746048,0.92686362,,,
1273.8552,0.973654,0.082427809,0.96160293,,,
1273.9534,0.930215,0.081128314,0.99511177,,,
1274.0516,1.04551,0.084958968,0.99485223,,,
1274.1498,0.99097,0.083231868,0.99459265,,,
1274.248,1.0133,0.086194244,0.99433302,,,
1274.3463,1.33261,0.14218923,0.9962892,,,
1274.4445,1.09557,0.13277716,0.99931566,,,
1274.5427,0.981038,0.083032135,1.0023425,,,
1274.6409,0.915764,0.080856687,1.0043863,,,
1274.7391,0.980545,0.083059472,1.0042884,,,
1274.8373,0.943578,0.081871567,1.0041905,,,
1274.9355,0.974738,0.082959862,1.0040926,,,
1275.0337,0.847832,0.078786764,1.0047339,,,
1275.1319,1.02126,0.08432214,1.0054101,,,
1275.2302,1.04056,0.084900774,1.0060864,,,
1275.3284,0.937231,0.08165116,1.0062282,,,
1275.4266,1.07168,0.085762569,1.0058184,,,
1275.5248,1.13754,0.087540469,1.0054086,,,
1275.623,0.991968,0.083260874,1.0039454,,,
1275.7212,1.01596,0.084156939,0.9955862,,,
1275.8194,1.04669,0.085677282,0.98722594,,,
1275.9176,1.03301,0.087264909,0.97886458,,,
1276.0158,1.01424,0.086891745,0.98266424,,,
1276.1141,1.00405,0.086758777,0.99003912,,,
1276.2123,1.04076,0.088157598,0.99741495,,,
1276.3105,1.04686,0.085993755,1.0011785,,,
1276.4087,0.955723,0.082255055,0.99978417,,,
1276.5069,0.845131,0.078680548,0.99838966,,,
1276.6051,0.871132,0.079482662,0.99632148,,,
1276.7033,0.931262,0.081625931,0.98204176,,,
